EvaLee_direct,Yuri_direct,Other_direct,transcript_Eng,transcript_Chn
./audio_RA2/EvaLee/AlliedWar/RA2_cevau06.mp3,,,"The V3 is a powerful long-range artillery weapon. Beware Commander, it can level your base in minutes without you ever getting a chance to even return fire.",V3是威力强大的长程火箭。当心，指挥官，V3能在几分钟内将您的基地夷为平地，您甚至连还击的机会都没有
./audio_RA2/EvaLee/AlliedWar/RA2_cevau07.mp3,,,"The most powerful Soviet Tank ever built, the Apocalpyse is a small army all by itself and is equipped to handle both ground and air threats.",天启坦克是苏联史上最强的坦克，本身就具备一只小型军队的火力，装备对空及对地的武装
./audio_RA2/EvaLee/AlliedWar/RA2_cevau08.mp3,,,"The most powerful air unit ever created, the Kirov can take a beating and drop an almost unlimited number of heavy iron bombs.",基洛夫空艇是最强的空中武器，能投掷无限的铁制炸弹，攻击敌人
./audio_RA2/EvaLee/AlliedWar/RA2_cevau13.mp3,,,"The ultimate in Soviet long-range bombardment, the Dreadnought is powerful from a distance but can be easily destroyed at close range. The Dreadnought's missiles can also be shot down by patriot missiles.",无畏级战舰是苏联究极的长程炮轰武器，远距攻击力无以伦比，但很容易在近距离被击沉。无畏级战舰所发射的飞弹能用爱国者飞弹加以击落
./audio_RA2/EvaLee/AlliedWar/RA2_cevau15.mp3,,,"The Soviets have taken Tesla Technology to the final step, a man in a Tesla powered suit. These soldiers are excellent at destroying tanks and also seem to be able to power up Tesla Coils with their extra energy.",苏联磁能科技的最后阶段，身穿磁能动力装的士兵。这些士兵最擅长对付坦克，也能用他们额外的能源加强磁爆线圈
./audio_RA2/EvaLee/AlliedWar/RA2_cevau19.mp3,,,"This soldier is equipped with a nuclear battle suit. He can irradiate large patches of ground, making them impassible to infantry or light vehicles.",这个士兵装备了核子战斗装。他能让周围大片土地被辐射照射，使得步兵或轻型车辆无法通过
./audio_RA2/EvaLee/AlliedWar/RA2_cevau20.mp3,,,The Soviets have been experimenting with Psychic technology with some success. Their elite PsiCorps can cause our own loyal soldiers to turn against us.,苏联已经在心灵科技上取得一些成功。他们的精英超能力部队能让我方忠诚的士兵倒戈，兵戎相向
./audio_RA2/EvaLee/AlliedWar/RA2_cevau22.mp3,,,"This, sir, is our IFV. It is a multipurpose raider capable of boosting the standard weapon capabilities of any infantryman inside.",长官，这是我方的步兵战斗车。多功能，适合发动突袭，能加强车内步兵制式武器的威力
./audio_RA2/EvaLee/AlliedWar/RA2_cevau23.mp3,,,"Sir, this is an engineer. He can repair any Allied building and once inside an enemy building turn it to our side. He is much smarter than his Soviet counterpart.",长官，这是名工程师。他可以修护任何盟军建筑，一旦进入敌方建筑，就能将之转换为我方所有。他比苏联工程师要能干的许多
./audio_RA2/EvaLee/AlliedWar/RA2_cevau24.mp3,,,"Sir, the SEAL is the elite soldier. No enemy is safe from him, whether on land or water.",长官，海豹部队是精英战士。不论是在陆地或是水中，没有敌人能逃过他的魔掌
