EvaLee_direct,Zofia_direct,Yuri_direct,transcript_Eng,transcript_Chn
./audio_RA2/EvaLee/General/RA2_ceva001.mp3,./audio_RA2/Zofia/General/RA2_csof001.mp3,./audio_RA2/Yuri/General/RA2_cyur001.mp3,"Warning, Nuclear Silo detected.",警告，侦测到核弹发射井
./audio_RA2/EvaLee/General/RA2_ceva002.mp3,./audio_RA2/Zofia/General/RA2_csof002.mp3,./audio_RA2/Yuri/General/RA2_cyur002.mp3,"Warning, Nuclear Missile launched.",警告，核弹已发射
./audio_RA2/EvaLee/General/RA2_ceva003.mp3,./audio_RA2/Zofia/General/RA2_csof003.mp3,./audio_RA2/Yuri/General/RA2_cyur003.mp3,Nuclear Missile ready.,核弹已准备就绪
./audio_RA2/EvaLee/General/RA2_ceva004.mp3,./audio_RA2/Zofia/General/RA2_csof004.mp3,./audio_RA2/Yuri/General/RA2_cyur004.mp3,"Warning, Iron Curtain detected.",警告，侦测到铁幕装置
./audio_RA2/EvaLee/General/RA2_ceva005.mp3,./audio_RA2/Zofia/General/RA2_csof005.mp3,./audio_RA2/Yuri/General/RA2_cyur005.mp3,"Warning, Iron Curtain activated.",警告，铁幕装置已激活
./audio_RA2/EvaLee/General/RA2_ceva006.mp3,./audio_RA2/Zofia/General/RA2_csof006.mp3,./audio_RA2/Yuri/General/RA2_cyur006.mp3,Iron Curtain ready.,铁幕装置已准备就绪
./audio_RA2/EvaLee/General/RA2_ceva007.mp3,./audio_RA2/Zofia/General/RA2_csof007.mp3,./audio_RA2/Yuri/General/RA2_cyur007.mp3,"Warning, Chronosphere detected.",警告，侦测到超时空传送仪
./audio_RA2/EvaLee/General/RA2_ceva008.mp3,./audio_RA2/Zofia/General/RA2_csof008.mp3,./audio_RA2/Yuri/General/RA2_cyur008.mp3,"Warning, Chronosphere activated.",警告，超时空传送仪已激活
./audio_RA2/EvaLee/General/RA2_ceva009.mp3,./audio_RA2/Zofia/General/RA2_csof009.mp3,./audio_RA2/Yuri/General/RA2_cyur009.mp3,Chronosphere ready.,超时空传送仪已准备就绪
./audio_RA2/EvaLee/General/RA2_ceva010.mp3,./audio_RA2/Zofia/General/RA2_csof010.mp3,./audio_RA2/Yuri/General/RA2_cyur010.mp3,"Warning, Weather Control Device detected.",警告，侦测到天气控制机
./audio_RA2/EvaLee/General/RA2_ceva011.mp3,./audio_RA2/Zofia/General/RA2_csof011.mp3,./audio_RA2/Yuri/General/RA2_cyur011.mp3,"Warning, Lightning Storm created.",警告，闪电风暴已生成
./audio_RA2/EvaLee/General/RA2_ceva012.mp3,./audio_RA2/Zofia/General/RA2_csof012.mp3,./audio_RA2/Yuri/General/RA2_cyur012.mp3,Lightning Storm ready.,闪电风暴已准备就绪
./audio_RA2/EvaLee/General/RA2_ceva013.mp3,./audio_RA2/Zofia/General/RA2_csof013.mp3,./audio_RA2/Yuri/General/RA2_cyur013.mp3,Mission accomplished.,任务完成
./audio_RA2/EvaLee/General/RA2_ceva014.mp3,./audio_RA2/Zofia/General/RA2_csof014.mp3,./audio_RA2/Yuri/General/RA2_cyur014.mp3,Mission failed.,任务失败
./audio_RA2/EvaLee/General/RA2_ceva015.mp3,./audio_RA2/Zofia/General/RA2_csof015.mp3,./audio_RA2/Yuri/General/RA2_cyur015.mp3,Battle control terminated.,终止作战控制
./audio_RA2/EvaLee/General/RA2_ceva016.mp3,./audio_RA2/Zofia/General/RA2_csof016.mp3,./audio_RA2/Yuri/General/RA2_cyur016.mp3,"Establishing battlefield control, standby.",建立作战控制，请稍后
./audio_RA2/EvaLee/General/RA2_ceva017.mp3,./audio_RA2/Zofia/General/RA2_csof017.mp3,./audio_RA2/Yuri/General/RA2_cyur017.mp3,Primary objective achieved.,达成主要作战目标
./audio_RA2/EvaLee/General/RA2_ceva018.mp3,./audio_RA2/Zofia/General/RA2_csof018.mp3,./audio_RA2/Yuri/General/RA2_cyur018.mp3,Secondary objective achieved.,达成次要作战目标
./audio_RA2/EvaLee/General/RA2_ceva019.mp3,./audio_RA2/Zofia/General/RA2_csof019.mp3,./audio_RA2/Yuri/General/RA2_cyur019.mp3,Tertiary objective achieved,达成第三作战目标
./audio_RA2/EvaLee/General/RA2_ceva020.mp3,./audio_RA2/Zofia/General/RA2_csof020.mp3,./audio_RA2/Yuri/General/RA2_cyur020.mp3,Critical unit lost.,损失关键部队
