Zofia_direct,Yuri_direct,Other_direct,transcript_Eng,transcript_Chn
./audio_RA2/Zofia/SovietWar/RA2_csofu39.mp3,,,Yuri's Boomer submarine combines the stuff of a sub with a ballistic capabilities of our own dreadknots. Our squids are the only unit that can effectively counter them.,尤里的 Boomer 潜艇结合了潜艇的特性和我们自己的无畏舰的弹道能力。我们的鱿鱼是唯一可以有效对抗它们的单位。
./audio_RA2/Zofia/SovietWar/RA2_csofu40.mp3,,,"Commander, this unit is the strongest Yuri has. He's the brute and he can smash things with minimal effort",指挥官，这支部队是尤里拥有的最强部队。他是野蛮人，他可以毫不费力地砸碎东西
./audio_RA2/Zofia/SovietWar/RA2_csofu41.mp3,,,Unfortunately the chaos drone was a promising Soviet design that Yuri stole. It produces a cloud of hallucinogenic gas that causes all those affected to go berserk for a limited time period.,不幸的是，混沌无人机是尤里偷走的很有前途的苏联设计。它会产生一团致幻气体，使所有受影响的人在有限的时间内发疯。
./audio_RA2/Zofia/SovietWar/RA2_csofu42.mp3,,,Yuri is running his war mostly on stolen Soviet technology maintained by Soviet defectors. His engineers may have worked for us once but they have joined Yuri now. Shoot them on sight.,尤里的战争主要依靠苏联叛逃者维护的被盗苏联技术。他的工程师可能曾经为我们工作过，但他们现在加入了 Yuri。看到他们就开枪。
./audio_RA2/Zofia/SovietWar/RA2_csofu43.mp3,,,"Beware of these floating discs, Comrade General. Yuri has designed them to be able to drain power from our Tesla and nuclear reactors, as well as our own defensive buildings. And if they get near refinery, they are even better thefts than the accursed Allied spies.",当心这些浮盘，将军同志。尤里将它们设计成能够从我们的特斯拉和核反应堆以及我们自己的防御建筑中汲取能量。如果他们靠近炼油厂，他们甚至比该死的盟军间谍更容易偷窃。
./audio_RA2/Zofia/SovietWar/RA2_csofu44.mp3,,,"The Gatling tank is an impressive machine. Its guns can effectively target both air and land targets. The fire rate increases over time as their main guns get up to speed, so it is best dealt with by quick precision strikes.",加特林坦克是一台令人印象深刻的机器。它的火炮可以有效地瞄准空中和陆地目标。随着主炮速度的提高，射速会随着时间的推移而增加，因此最好通过快速精确打击来应对。
./audio_RA2/Zofia/SovietWar/RA2_csofu45.mp3,,,"This is Yuri's hover transport, Commander.",这是尤里的悬浮交通工具，指挥官。
./audio_RA2/Zofia/SovietWar/RA2_csofu46.mp3,,,"Yuri calls his foot soldiers Initiates. They attack with a powerful psychic blast. Effective against infantry, but not much else.",尤里称他的步兵为启蒙者。他们用强大的精神冲击波攻击。对步兵有效，但除此之外就没什么用了。
./audio_RA2/Zofia/SovietWar/RA2_csofu47.mp3,,,"We suspect Yuri stole the plans for the Lasher tank from our research department. But don't worry, Commander. We abandoned the project because the tank was too weak.",我们怀疑 Yuri 从我们的研究部门偷走了 Lasher 坦克的计划。不过别担心，指挥官。我们放弃了这个项目，因为坦克太弱了。
./audio_RA2/Zofia/SovietWar/RA2_csofu48.mp3,,,"Sir, Yuri is deploying a new unit called the Magnetron. It can generate a powerful electromagnetic field that can drag our tanks towards it.",长官，尤里正在部署一个名为磁控管的新单位。它可以产生强大的电磁场，可以将我们的坦克拖向它。
./audio_RA2/Zofia/SovietWar/RA2_csofu49.mp3,,,This thing is Yuri's master mind. It can take control of our units just as Yuri himself can. We have discovered its weakness though. It can only control so many of our units before it overloads itself and is destroyed.,这东西是尤里的主脑。它可以像尤里本人一样控制我们的单位。不过，我们已经发现了它的弱点。在它自身超载并被摧毁之前，它只能控制我们这么多的单位。
./audio_RA2/Zofia/SovietWar/RA2_csofu50.mp3,,,Yuri's construction vehicle is a slightly modified version of our own. It of course deploys into a construction yard on command.,尤里的工程车是我们自己的略微改装版。它当然会根据命令部署到施工场。
./audio_RA2/Zofia/SovietWar/RA2_csofu51.mp3,,,"Yuri liberated a Soviet prison early in the war, but the prisoners soon discovered that they were better off in theirselves. Now they are forced to gather ore for Yuri until they drop from exhaustion or worse.",尤里在战争初期解放了一座苏联监狱，但囚犯们很快发现他们自己过得更好。现在他们被迫为尤里收集矿石，直到他们因精疲力尽或更糟而倒下。
./audio_RA2/Zofia/SovietWar/RA2_csofu52.mp3,,,"Yuri has no need for a refinery because the slave miner is manned by a crew of slaves who refined the ore inside the vehicle. Without these vehicles, Yuri's production would slow to a crawl.",尤里不需要精炼厂，因为奴隶矿工由一群奴隶驾驶，他们在车内提炼矿石。没有这些车辆，Yuri 的生产速度将变得缓慢。
./audio_RA2/Zofia/SovietWar/RA2_csofu53.mp3,,,The Virus is a lethal group of female snipers. We tried to recruit them once but they refused. Apparently you remade them an offer they could not refuse.,病毒是一群致命的女狙击手。我们曾经试图招募他们，但他们拒绝了。显然你重新给了他们一个他们无法拒绝的提议。
./audio_RA2/Zofia/SovietWar/RA2_csofu54.mp3,,,"Without his clones, Yuri would not have made it this far. Wipe out these abominations for the good of Mother Russia.",没有他的克隆人，尤里不可能走到这一步。为了俄罗斯母亲的利益，消灭这些可憎之物。
