Zofia_direct,Yuri_direct,Other_direct,transcript_Eng,transcript_Chn
./audio_RA2/Zofia/SovietWar/RA2_csofu04.mp3,,,Soviet technology at its finest. Terror Drones can enter and destroy enemy vehicles from the inside.,苏联科技的结晶。恐怖机器人能潜入敌人车辆内部，并由内部将之摧毁
./audio_RA2/Zofia/SovietWar/RA2_csofu06.mp3,,,The V3 Launcher has extreme range capabilities coupled with devastating damage potential. Destruction guaranteed. Just don't leave it undefended.,V3火箭发射车是十分长程的武器，具有无比伦比的潜在破坏力。肯定能造成浩劫般的伤害，但不要让其没有防备
./audio_RA2/Zofia/SovietWar/RA2_csofu07.mp3,,,The appropriately named Apocalypse Tank is war in a can. It can attack any ground or air targets and be expected to be the last unit standing.,车如其名的天启坦克，是完美结合的战争武器。天启坦克能攻击任何地面或空中目标，也是能在战场上存活最久的部队
./audio_RA2/Zofia/SovietWar/RA2_csofu08.mp3,,,"They may be slow, but the Kirov Airships can take great punishment and deliver even more.",虽然基洛夫空艇的速度不快，但能造成大量的破坏，并且不停的攻击
./audio_RA2/Zofia/SovietWar/RA2_csofu09.mp3,,,The Sea Scorpion is a fast-attack sea raider. It can't win the war for you but you can't win the war without it. It is your only anti-air defense on the water.,海蠍是快速攻击海上突袭舰。虽然不能为您赢得战争，但没有它您也肯定赢不了。这是您在水面上的唯一防空武器
./audio_RA2/Zofia/SovietWar/RA2_csofu10.mp3,,,"I don't agree with this kind of experimentation, but you cannot deny the results. A Giant Squid can immobilize and eventually destroy any sea vessel.",我不同意这类实验，但您无法否认实验的成果。巨型乌贼能让任何海上舰艇动弹不得，最后还能将之摧毁
./audio_RA2/Zofia/SovietWar/RA2_csofu11.mp3,,,"The Typhoon Attack Sub is undetectable by normal Allied units, but look out for Allied Dolphins and Destroyers.",台风级攻击潜艇对一般盟军部队来说神出鬼没，但请提防盟军海豚及驱逐舰
./audio_RA2/Zofia/SovietWar/RA2_csofu15.mp3,,,"The Tesla Troopers have powerful weapons, but they are useless against buildings. They also make excellent base defense as they can over-power Tesla Coils with their weapons.",磁爆步兵有威力强大的武器，但他们对建筑物无法造成客观的伤害。磁爆步兵也是优秀的基地防御力量，因为他们能用自己的武器加强磁爆线圈的威力
./audio_RA2/Zofia/SovietWar/RA2_csofu16.mp3,,,"The Soviet Engineer can repair buildings or capture enemy buildings, if you can get them past defenses.",苏联工程师能修复建筑物，倘若您能让他们穿越敌方防线，还能占领敌方建筑
./audio_RA2/Zofia/SovietWar/RA2_csofu18.mp3,,,Crazy Ivan can plant bombs on enemy buildings or perhaps a Conscript would agree to carry them for you.,疯狂伊文能在敌人建筑上装置炸弹，又或者说不定哪个动员兵肯替您背上几个
./audio_RA2/Zofia/SovietWar/RA2_csofu19.mp3,,,The Allies cannot match our nuclear power. Deploy the Desolator to sterilize an area.,盟军无法与我们的核力量匹敌。部署辐射工兵，让任何区域变得寸草不生
./audio_RA2/Zofia/SovietWar/RA2_csofu20.mp3,,,"Our most top-secret weapon, the PsiCorps is useful for quickly turning Allied units to our side.",超能力部队是我们最高机密的武器，可以迅速将盟军部队转化为我方所用
./audio_RA2/Zofia/SovietWar/RA2_csofu21.mp3,,,"Commander, this Allied GI is a well trained soldier capable of quickly deploying a heavy machine gun when stationed within buildings or deployed with his sandbag nest.",指挥官，这名盟军大兵训练精良，在建筑物内驻守或垒起沙袋时，能迅速架起重机枪
